title,src,url,description
Data visualisation,Img/personal/fertility_low.jpg,https://ritagior.github.io/ritagiordano/gallery.html,Data visualisation
Scientific Illustration,Img/cover_low.jpg,https://ritagior.github.io/ritagiordano/gallery.html,Scientific Illustration
